id,sign,title,summary,intro,introQuote,detail,thumbnail
1,Sign 1,Civic Mining,Rediscovery and utilization technology for urban resources,I throw away nothing as I just "renew" things,With the further promotion of recycling we feel that everything can be recycled.,"The government has started to lay out a framework to secure overseas mineral resources. Overseas mineral resources can be secured only when the mining, development and foregn diplomacy activities related to resources are promoted through cooperation between the government and the public. In terms of funding the government is utilizing ODA (official development assistance) organically, systematically and seamlessly to actively provide support for the overseas activitles of compantes. In terms of education, the government is also publically seeking primary, junior high and high schools that actively work on education projects related to resources, energy and the environment and they provide teaching materials, data and information to selected schools. This activity forms the background for advancement of environmental education and recycling technology and the promotion of development of products with high recyclability and blodegradability; however, on the other hand, it cannot be denied that extreme competition over resources will occur on a global scale. Therefore, it Is expected that improvement in the self-sufficlency ratlo of resources and energy and expansion in the range of products using a domestic circulation flow will be even greater in the future.",civic-mining.jpg
2,Sign 2,Mottainai Space,Surplus space in the city,Getting the most of cities across generational lines,Cities will become places where amenity and convenlence are merged for city dwellers.,"Expansion in maintenance and management costs due to the aging of facilities and difficulties of flexible space usage under legal regulations are cited as issues for urban public facilities where existing resources are expected to be used effectively. When we consider the cities of the future, it is necessary to utilize limited space as efficiently as possible, and it is anticipated that many public facilities will be designed with a view to possible future operation parameters (demographic trends) and the usage of facilities will be on a multi-functional basis wherever possible. On the other hand, the present status on the side of the government Is that they cannot handle the situation flexibly due to organizational issues caused by vertically-segmented administrative systems in addition to legal regulations. Therefore, as a measure to respond to the need for amenity as well as convenlence and efficiency where population decline and the aging of society are accelerating, there is great expectation for the recycling of public assets using asset management know-how accumulated within the private sector through utilization of public and private partnerships (PPP).",mottainai-space.jpg
3,Sign 3,Beyond Green,Diversification of environmental values among people,We are already aware that there is no justice in environmental countermeasures,We feel that the arguments for reducing the environmental burden that focus solely on reducing carbon are coming apart at the seams.,"Due to governmental measures to reduce the cost of solar power generation and promote next generation automobiles, next generation energy sources will penetrate widely into people's everyday lives through demonstrational experiments and institutional reforms. Furthermore, consumer behavior is changing from ownership to usage through expansion of the car sharing market, etc., and people are starting to choose life styles with a lower environmental burden according to varlous senses of value such as convenlence and personal principles. This sort of sense of value will become more diverse with the coming of a new generation. People that reach the age of twenty in 2025 will be of the environment native generation, who have experlenced power conservation on a large scale during their formative years, received environmental education and are thoroughly aware of the mechanism to reduce the environmental burden. The range in the sense of values regarding the reduction of the environmental burden based on differences in knowledge, generation and regional location will become wider. Moreover, environment natives who have a high degree of literacy when it comes to environmental measures will seek justice and transparency in the usage of environmental measures. If the eco-point system has failed in calculating CO2 emission reduction, it will result in a loss of empathy for the social system.",beyond-green.jpg
4,Sign 4,Micro Eco,Improvement of eco-decomposition capability,From Eco-activities at the society level to a convincing Eco-life I can feel and be satisfied with,People are growing tired of an imposed ethical sense of values and start to seek direct motivation.,"According to an opinion poll performed by the Cabinet Office, small eco-activities that can be carried out easily by each individual such as carrying an eco-bag in order to reduce waste are gradually penetrating among the general public. In the case of eating habits, small-eco activities are also spreading, for example mineral water claiming ecological soundness as its basic concept gains high popularity or the number of people who grow food in their home garden as self production and self consumption is increasing. This trend can also be observed in energy consumption, such as in the permeation of LED lighting in general households. The Ministry of Economy, Trade and Industry is also trying to enhance the motivation of the people in the reduction of the environmental burden by visualizing energy through deployment of Smart Meters, the automated meter reader of electricity consumption in every household. From now on, the focus will shift from the former vague enlightenment type eco activities at the level of society to accessible ecological activities in our daily lives where we can actually understand, act and feel the effect.",micro-eco.jpg
5,Sign 5,"The Slower, The Smarter",The needs for both city and nature,There is not just one ideal way of living,I choose this town because I would like to enjoy urban life as well as life in the countryside.,"The number of people who experience farming as a leisure activity or people who work on their allotment gardens seriously is increasing. The trend started in England, with the title WWOOF/World Wide Opportunities on Organic Farms where accommodation and meals are provided in exchange for help with farm work has now spread to 20 countries including Japan. Moreover, there are many people whose lives are based in the countryside and want to enjoy the convenience of urban life while living in natural surroundings. With this sort of background, some municipalities in rural areas adjacent to cities have started to work on inviting people stressing the appeal of compatibility with both supporting the environment of permaculture and accessibility to the city center as an additional value. In order to pursue a comfortable life that matches the individual s sense of values, the number of families who will change their work life balance dynamically along with their stage of life will increase in the future. It is also expected that local industry will be enhanced through improvement of environment and transportation put in place to accept this new population, but not only that, expansion of peripheral markets giving rise to new needs is also expected.",the-slower-the-smarter.jpg
6,Sign 6,Ownership,From ownership to usership,Satisfaction is gained not only through delighting in material possessions,"Satisfaction is gained through owning the story behind the object, rather than from the approval of others or self satisfaction through purchasing products.","Throughout the world consumer activities are changing from ""ownership to usage"". The movement toward reducing the environmental burden has added a sense of social responsibility to purchasing activity that used to be carried out simply under one's own responsibility, and regulations covering appropriate disposal methods have become an obstacle to ownership. On the other hand, because of the increased avallability of opportunities to use a car without owning one through car sharing schemes such as Zipcar, etc. or using cloud computing, the choice of a ""life without ownership"" is now open to us. Moreover, expansion of freemium business is now changing the meaning of the price paid for ownership or usage. Increasingly, the consumer no longer sees a meaning in the simple fact of owning something. Experience gained through interaction with objects or services, formation of human relationships, personal principles or social significance are becoming more valued than a sense of ownership or being an owner. With regard to social assets, while it is becoming difficult for municipalities to develop a social infrastructure and there is a growing need for the creation of a social system through cooperation between the public and private sectors, the individual's sense of ownership of social assets is essential for sustainability and there is a strong need for a system that creates a sense of empathy and participation among the citizens.",ownership.jpg
7,Sign 7,Civic Price,Commoditization of cities,"Because you can see the value, you will one day encounter a city that really suits you","When it becomes possible to quantitatively compare and evaluate, the current way of life will suddenly seem to lose its color.","As the scale of the economy withers more seriously due to the aging of the population and population decrease, it will become difficult to maintain infrastructure facilities in cities. Municipalities are required to make an independent effort to present their attractions in a manner that facilitates comparison with other cities for the purpose of attracting people and industries in order to survive. Against this background, international organizations including the United Nations presented a universal method for measuring the CO2 emissions of each city and actually calculated the emissions of major cities around the world, so various ""indexes to evaluate the urban environment"" have started to appear. These indexes will be used effectively to indicate the characteristics of urban development to associated bodies in the development of special zones. Reduction in the environmental burden will not be the only factor in regenerating a city or establishing a new city. One important factor that might make one city stand out in comparison with others for potential residents may be the extent to which it is equipped with functionality that supports a more diverse set of values, which includes basic performance factors such as safety, security and convenience, participation of aged people in the community, consideration of the work life balance such as proximity of the work place and home and an understanding of diversity.",civic-price.jpg
8,Sign 8,Emerging Community,New relationships with developing countries,The future of one's own country can first be seen through support for other countries,New state-to-state relations can be constructed through mutual development ald.,"In recent years, an increasing number of developed countries are trying to contribute to the development of fast-growing developing countries through urban creation Industries such as the construction of smart cities. On the other hand, various problems are more aggravated in developed countries such as that the per capita burden is increasing along with the aging of the population combined with the diminishing number of children and the number of users of facilities has reached saturation point, so ""medical tourism"" where patients from developed countries receive medical treatment in Thailand or Singapore is growing very popular. This sort of international exchange will be crucial to both parties in order for developed countries to attain sustainable development and for developing countries to attain an affluent lifestyle. Developed countries are trying to realize a sustainable society within their borders while supporting developing countries in the construction of sophisticated and sustainable future cities, so that reverse innovation utilizing the experience and know-how gained from developing countries will be actively pursued. It is actually the country that gives the support, who receives the support*",emerging-community.jpg
9,Sign 9,DIY Society,DIY oriented society,"Public... you won' tfind it no matter how hard you look, we are the public",People want hand-made towns after their experience of ready-made towns such as designated districts.,"The number of people enjoying home gardening is increasing. This trend is not only an extension of the hobby, but it is also a sign of a ""DIY living environment"" to ""create security on your own"" due to mistrust towards distribution margins, suspicious origins and so on. This trend demonstrates the movement towards selection according to one's own sense of values through self creation or customization of products and services including private importation and asset management. It indicates that people will also desire DIY in the infrastructure held such as electricity and water supplies in the future. For instance, when household solar power generation becomes more widespread, people who use it will probably require electric companies to purchase the power generated or set pricing with consideration for volatility risk, or for social services such as marriage, insurance and pensions, a shift will probably occur toward looking for a movement into privatization through incorporating the ideas of the private sector into these institutions. As support for this social service DIY trend is propagated, customizable administrative foundations will be constructed for each region and towns that satisfy the various value mindsets of the people will spring up one after another.",diy-society.jpg
10,Sign 10,Reshaped Infrastructure,Reviewing the aging infrastructure,To whom can we entrust this valuable property?,We'd like to entrust this to a rellable party because this infrastructure will be an essential part of our everyday lives In the future.,"In the case of social infrastructure including roads, public facilities, water and electricity that used to be controlled and operated mainly by the public administration, countermeasures against aging are now becoming a big issue.Due to various reasons such as resource depletion, cost collapse, risk measures in an emergency and changes in the individual's consciousness of ownership and usage, the role of public projects themselves have become open to re-examination. The number of public service activities in which the private sector participates will increase further, and there will be increased diversity in the type, quality and price of more convenient and user-friendly services. Moreover, as shown by the example of EV stations, with the need for a new infrastructure facility business that can be deployed as an alternative to existing energy and new technology, new and different supply methods become possible and they will be widely used. At the same time, a new production and consumption circulation system at a regional or individual level will be produced, and It is anticipated that the securing of infrastructure and management of business will be promoted beyond the existing range.",reshaped-infrastructure.jpg
